Player	Position	Team	Receptions	Yards	AvgYds	Longest	TDs	YDS/G	TAR	20+	FUM	YAC	1DN
Michael Thomas	WR	NO	149	1725	11.6	49	9	107.8	185	17	1	582	91
Julio Jones	WR	ATL	99	1394	14.1	54	6	92.9	157	21	1	360	77
Chris Godwin	WR	TB	86	1333	15.5	71	9	95.2	121	25	0	591	63
Travis Kelce	TE	KC	97	1229	12.7	47	5	76.8	136	13	1	430	65
DeVante Parker	WR	MIA	72	1202	16.7	51	9	75.1	128	21	0	291	58
Keenan Allen	WR	LAC	104	1199	11.5	45	6	74.9	149	15	0	368	63
Kenny Golladay	WR	DET	65	1190	18.3	75	11	74.4	116	22	1	301	52
Amari Cooper	WR	DAL	79	1189	15.1	53	8	74.3	119	17	0	245	54
DJ Moore	WR	CAR	87	1175	13.5	52	4	78.3	135	13	2	403	63
Jarvis Landry	WR	CLE	83	1174	14.1	65	6	73.4	138	20	0	440	55
DeAndre Hopkins	WR	HOU	104	1165	11.2	43	7	77.7	150	16	0	393	68
Cooper Kupp	WR	LAR	94	1161	12.4	66	10	72.6	134	21	3	547	51
Mike Evans	WR	TB	67	1157	17.3	67	8	89	118	17	0	276	54
Allen Robinson II	WR	CHI	98	1147	11.7	49	7	71.7	154	15	0	279	63
Darren Waller	TE	OAK	90	1145	12.7	75	3	71.6	117	14	1	601	53
Robert Woods	WR	LAR	90	1134	12.6	48	2	75.6	139	14	0	584	54
Stefon Diggs	WR	MIN	63	1130	17.9	66	6	75.3	94	20	4	308	41
Julian Edelman	WR	NE	100	1117	11.2	44	6	69.8	153	13	3	337	54
Courtland Sutton	WR	DEN	72	1112	15.4	70	6	69.5	124	18	2	363	50
Michael Gallup	WR	DAL	66	1107	16.8	62	6	79.1	113	18	0	343	50
John Brown	WR	BUF	72	1060	14.7	53	6	70.7	115	17	0	217	53
Tyler Lockett	WR	SEA	82	1057	12.9	44	8	66.1	110	15	1	314	53
George Kittle	TE	SF	85	1053	12.4	61	5	75.2	107	16	1	622	53
A.J. Brown	WR	TEN	52	1051	20.2	91	8	65.7	84	15	1	463	39
Tyler Boyd	WR	CIN	90	1046	11.6	47	5	65.4	148	12	2	358	51
Odell Beckham Jr.	WR	CLE	74	1035	14	89	4	64.7	133	16	0	331	44
DJ Chark Jr.	WR	JAX	73	1008	13.8	69	8	67.2	118	17	0	316	42
Christian McCaffrey	RB	CAR	116	1005	8.7	28	4	62.8	142	7	0	1010	58
Mike Williams	WR	LAC	49	1001	20.4	56	2	66.7	90	17	0	219	41
Davante Adams	WR	GB	83	997	12	58	5	83.1	127	12	2	393	54
Austin Ekeler	RB	LAC	92	993	10.8	84	8	62.1	108	9	2	944	42
Terry McLaurin	WR	WSH	58	919	15.8	75	7	65.6	93	15	0	220	43
Zach Ertz	TE	PHI	88	916	10.4	30	6	61.1	135	12	1	276	50
DK Metcalf	WR	SEA	58	900	15.5	54	7	56.3	100	13	3	278	39
Emmanuel Sanders	WR	DEN/SF	66	869	13.2	75	5	51.1	97	11	0	244	41
Calvin Ridley	WR	ATL	63	866	13.7	36	7	66.6	93	12	0	139	47
Tyreek Hill	WR	KC	58	860	14.8	57	7	71.7	89	11	0	276	39
Mark Andrews	TE	BAL	64	852	13.3	51	10	56.8	98	16	2	302	44
Jamison Crowder	WR	NYJ	78	833	10.7	41	6	52.1	122	11	0	357	41
Randall Cobb	WR	DAL	55	828	15.1	59	3	55.2	83	15	2	343	41
Larry Fitzgerald	WR	ARI	75	804	10.7	54	4	50.3	109	10	1	358	40
Deebo Samuel	WR	SF	57	802	14.1	42	3	53.5	81	17	2	481	32
Austin Hooper	TE	ATL	75	787	10.5	35	6	60.5	97	8	0	329	41
Marvin Jones Jr.	WR	DET	62	779	12.6	47	9	59.9	91	12	0	121	41
Robby Anderson	WR	NYJ	52	779	15	92	5	48.7	96	13	1	171	35
Cole Beasley	WR	BUF	67	778	11.6	51	6	51.9	106	10	0	344	37
Chris Conley	WR	JAX	47	775	16.5	70	5	48.4	90	13	0	253	36
Darius Slayton	WR	NYG	48	740	15.4	55	8	52.9	84	12	0	198	32
James Washington	WR	PIT	44	735	16.7	79	3	49	80	13	1	203	31
Tyler Higbee	TE	LAR	69	734	10.6	33	3	48.9	89	11	0	403	36
Christian Kirk	WR	ARI	68	709	10.4	69	3	54.5	107	6	0	291	31
Jared Cook	TE	NO	43	705	16.4	61	9	50.4	65	15	0	258	32
Diontae Johnson	WR	PIT	59	680	11.5	45	5	42.5	92	7	3	307	31
Danny Amendola	WR	DET	62	678	10.9	47	1	45.2	97	6	0	218	36
Golden Tate	WR	NYG	49	676	13.8	64	6	61.5	85	10	1	289	30
Sammy Watkins	WR	KC	52	673	12.9	68	3	48.1	90	9	2	302	30
Will Fuller V	WR	HOU	49	670	13.7	54	3	60.9	71	10	1	227	26
Dede Westbrook	WR	JAX	66	660	10	39	3	44	101	10	0	316	31
Anthony Miller	WR	CHI	52	656	12.6	35	2	41	85	11	0	227	34
Hunter Henry	TE	LAC	55	652	11.9	30	5	54.3	76	8	1	174	36
Tyrell Williams	WR	OAK	42	651	15.5	46	6	46.5	64	12	0	204	33
James White	RB	NE	72	645	9	59	5	43	95	9	0	541	31
Breshad Perriman	WR	TB	36	645	17.9	44	6	46.1	70	15	0	134	29
Curtis Samuel	WR	CAR	54	627	11.6	44	6	39.2	105	8	0	153	36
Zach Pascal	WR	IND	41	607	14.8	37	5	37.9	72	11	0	234	29
Dallas Goedert	TE	PHI	58	607	10.5	28	5	40.5	87	8	2	363	33
Hunter Renfrow	WR	OAK	49	605	12.3	65	4	46.5	71	7	0	327	31
Corey Davis	WR	TEN	43	601	14	38	2	40.1	69	10	1	211	33
Greg Olsen	TE	CAR	52	597	11.5	41	2	42.6	82	6	0	217	34
Marquise Brown	WR	BAL	46	584	12.7	83	7	41.7	71	8	0	237	24
Brandin Cooks	WR	LAR	42	583	13.9	57	2	41.6	72	9	0	169	32
Sterling Shepard	WR	NYG	57	576	10.1	36	3	57.6	83	8	0	180	29
Auden Tate	WR	CIN	40	575	14.4	33	1	47.9	80	8	1	202	29
Mike Gesicki	TE	MIA	51	570	11.2	34	5	35.6	89	7	1	195	25
Noah Fant	TE	DEN	40	562	14.1	75	3	35.1	66	10	1	388	23
Kenny Stills	WR	HOU	40	561	14	45	4	43.2	55	9	0	141	27
JuJu Smith-Schuster	WR	PIT	42	552	13.1	76	3	46	70	7	1	243	23
Mecole Hardman	WR	KC	26	538	20.7	83	6	33.6	41	9	0	305	18
Alvin Kamara	RB	NO	81	533	6.6	41	1	38.1	97	2	1	568	28
Jason Witten	TE	DAL	63	529	8.4	33	4	33.1	83	2	1	171	27
Alex Erickson	WR	CIN	43	529	12.3	52	0	33.1	78	5	1	230	26
Leonard Fournette	RB	JAX	76	522	6.9	27	0	34.8	100	3	1	576	23
Mohamed Sanu Sr.	WR	ATL/NE	59	520	8.8	28	2	34.7	89	3	0	193	30
Dalvin Cook	RB	MIN	53	519	9.8	31	0	37.1	63	7	1	597	26
Miles Sanders	RB	PHI	50	509	10.2	45	3	31.8	63	8	0	419	19
John Ross	WR	CIN	28	506	18.1	66	3	63.3	56	10	1	200	22
T.Y. Hilton	WR	IND	45	501	11.1	35	5	50.1	68	6	0	213	24
Alshon Jeffery	WR	PHI	43	490	11.4	38	4	49	73	6	0	133	36
Allen Lazard	WR	GB	35	477	13.6	43	3	29.8	52	6	0	145	24
Aaron Jones	RB	GB	49	474	9.7	67	3	29.6	68	6	1	453	18
Evan Engram	TE	NYG	44	467	10.6	75	3	58.4	68	4	0	254	23
Le'Veon Bell	RB	NYJ	66	461	7	23	1	30.7	78	2	1	454	20
O.J. Howard	TE	TB	34	459	13.5	33	1	32.8	53	8	1	165	23
Tarik Cohen	RB	CHI	79	456	5.8	31	3	28.5	104	2	1	437	18
Marquez Valdes-Scantling	WR	GB	26	452	17.4	74	2	28.3	56	7	0	152	14
Demarcus Robinson	WR	KC	32	449	14	44	4	28.1	55	7	0	105	19
Jack Doyle	TE	IND	43	448	10.4	23	4	28	72	4	1	223	29
Jimmy Graham	TE	GB	38	447	11.8	48	3	27.9	60	7	1	256	23
Russell Gage	WR	ATL	49	446	9.1	19	1	27.9	74	0	0	167	25
Jonnu Smith	TE	TEN	35	439	12.5	57	3	27.4	44	8	0	284	16
Saquon Barkley	RB	NYG	52	438	8.4	65	2	33.7	73	6	1	441	14
Tyler Eifert	TE	CIN	43	436	10.1	27	3	27.3	63	4	0	115	24
Demaryius Thomas	WR	NYJ	36	433	12	47	1	39.4	58	4	0	176	22
Preston Williams	WR	MIA	32	428	13.4	35	3	53.5	60	6	2	71	24
Josh Gordon	WR	NE/SEA	27	426	15.8	58	1	38.7	47	8	0	158	16
Ted Ginn Jr.	WR	NO	30	421	14	45	2	26.3	56	7	0	47	20
Ezekiel Elliott	RB	DAL	54	420	7.8	27	2	26.3	71	3	0	402	21
Adam Thielen	WR	MIN	30	418	13.9	44	6	41.8	48	8	0	123	18
Jordan Akins	TE	HOU	36	418	11.6	53	2	26.1	55	4	0	244	21
Allen Hurns	WR	MIA	32	416	13	27	2	29.7	47	4	1	101	18
Devonta Freeman	RB	ATL	59	410	6.9	28	4	29.3	70	2	1	353	17
Duke Johnson	RB	HOU	44	410	9.3	21	3	25.6	62	1	0	362	18
Gerald Everett	TE	LAR	37	408	11	33	2	31.4	60	6	0	180	22
Phillip Dorsett II	WR	NE	29	397	13.7	58	5	28.4	54	6	0	89	17
Dawson Knox	TE	BUF	28	388	13.9	49	2	25.9	50	7	0	149	15
Chris Thompson	RB	WSH	42	378	9	39	0	34.4	58	3	1	347	16
Eric Ebron	TE	IND	31	375	12.1	48	3	34.1	52	4	0	165	20
Adam Humphries	WR	TEN	37	374	10.1	30	2	31.2	47	4	0	122	20
David Johnson	RB	ARI	36	370	10.3	31	4	28.5	47	7	1	232	17
Kyle Rudolph	TE	MIN	39	367	9.4	32	6	22.9	48	3	0	194	24
T.J. Hockenson	TE	DET	32	367	11.5	39	2	30.6	59	6	0	202	19
Blake Jarwin	TE	DAL	31	365	11.8	42	3	22.8	41	8	1	160	17
Kelvin Harmon	WR	WSH	30	365	12.2	30	0	22.8	44	8	0	98	16
Nelson Agholor	WR	PHI	39	363	9.3	43	3	33	69	5	2	146	17
Keelan Cole	WR	JAX	24	361	15	55	3	22.6	35	5	0	101	19
Damiere Byrd	WR	ARI	32	359	11.2	58	1	32.6	46	3	1	147	16
Jakobi Meyers	WR	NE	26	359	13.8	35	0	23.9	41	9	0	123	17
Kendrick Bourne	WR	SF	30	358	11.9	30	5	22.4	44	4	0	116	23
Taylor Gabriel	WR	CHI	29	353	12.2	53	4	39.2	48	4	0	79	17
Albert Wilson	WR	MIA	43	351	8.2	35	1	27	62	4	0	181	22
Jacob Hollister	TE	SEA	41	349	8.5	22	3	31.7	59	3	0	174	16
Hayden Hurst	TE	BAL	30	349	11.6	61	2	21.8	39	4	0	155	16
Kenyan Drake	RB	MIA/ARI	50	345	6.9	26	0	24.6	68	2	0	433	15
Darren Fells	TE	HOU	34	341	10	24	7	21.3	48	2	0	169	22
Willie Snead IV	WR	BAL	31	339	10.9	50	5	21.2	46	4	0	140	20
